sr no ,rank,cutoff,intitute name,branch,Exam
45,75271,54.5240027,"3210 - Excelsior Education Society's K.C. College of Engineering and Management
Studies and Research, Kopri, Thane (E)","Electronics and Telecommunication
Engg",MHT-CET
46,75510,54.1568222,"3190 - Terna Engineering College, Nerul, Navi Mumbai",Electronics Engineering,MHT-CET
47,75568,54.1113194,"3221 - Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology,
Shirgaon",Civil Engineering,MHT-CET
48,76031,52.9257123,"6160 - JSPM's Imperial College of Engineering and Research, Wagholi, Pune",Mechanical Engineering,MHT-CET
49,76033,52.9257123,"2573 - Gramin College of Engineering, Vishnupuri, Nanded",Computer Engineering,MHT-CET
50,76122,52.7484058,"6220 - Shri Vithal Education and Research Institute's College of Engineering,
Pandharpur",Electrical Engineering,MHT-CET
51,76530,52.0094388,"1117 - Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering,
Pusad",Computer Science and Engineering,MHT-CET
52,76687,51.6391022,"2250 - Aurangabad College of Engineering, Naygaon Savangi, Aurangabad","Electronics and Telecommunication
Engg",MHT-CET
53,76690,51.6391022,"3223 - Mahatma Education Society's Pillai HOC College of Engineering & Technology,
Tal. Khalapur. Dist. Raigad","Electronics and Telecommunication
Engg",MHT-CET
54,76833,50.9892798,"6122 - TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",Civil Engineering,MHT-CET
55,77659,49.4727527,"4135 - Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering &
Technology, Nagpur",Civil Engineering,MHT-CET
56,77699,49.4727527,"2254 - Vilasrao Deshmukh Foundation Group of Institutions, Latur",Computer Engineering,MHT-CET
57,77743,49.4727527,"5139 - Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar.","Electronics and Telecommunication
Engg",MHT-CET
58,77986,48.4998921,"6177 - Sinhgad College of Engineering, Vadgaon (BK), Pune",Mechanical Engineering,MHT-CET
59,78057,48.4998921,"6184 - K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli,
Haveli","Electronics and Telecommunication
Engg",MHT-CET
60,78092,48.1429399,"6305 - S.D.N.C.R.E.S'S.Late Narayandas Bhawandas Chhabada Institute of Engineering
& Technology, Satara",Information Technology,MHT-CET
61,78175,47.7783049,"1116 - Shri Shivaji Education Society's College of Engineering and Technology, Akola",Civil Engineering,MHT-CET
62,78306,47.7445862,"6321 - Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur",Computer Science and Engineering,MHT-CET
63,78401,47.5835199,"4123 - Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of
Engineering, Nagpur",Electrical Engg[Electronics and Power],MHT-CET
64,78548,46.7882164,"3175 - M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",Civil Engineering,MHT-CET
65,78912,46.3613397,"6156 - Marathwada Mitra Mandal's College of Engineering, Karvenagar, Pune",Mechanical Engineering,MHT-CET
66,79291,45.7227139,"6308 - Shanti Education Society, A.G. Patil Institute of Technology, Soregaon,
Solapur(North)",Computer Engineering,MHT-CET
67,80477,42.6018901,"3222 - Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege
Betegaon, Boisar",Mechanical Engineering,MHT-CET
68,80496,42.6018901,"2130 - Terna Public Charitable Trust's College of Engineering, Osmanabad",Computer Science and Engineering,MHT-CET
69,80502,42.6018901,"3187 - N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",Mechanical Engineering,MHT-CET
70,80636,41.8722328,"3224 - Leela Education Society, G.V. Acharya Institute of Engineering and Technology,
Shelu, Karjat","Computer Science and
Engineering(Artificial Intelligence and
Machine Learning)",MHT-CET
71,80736,41.7486972,"6755 - JSPM Narhe Technical Campus, Pune.",Mechanical Engineering,MHT-CET
72,80767,41.7486972,"3189 - Bharati Vidyapeeth College of Engineering, Navi Mumbai",Instrumentation Engineering,MHT-CET
73,80820,41.7486972,"6270 - Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil College of Engineering,
Satara",Civil Engineering,MHT-CET
74,81416,40.1592803,"5381 - Shri. Jaykumar Rawal Institute of Technology, Dondaicha.",Computer Science and Engineering,MHT-CET
75,81493,39.9525146,"5380 - Adsul's Technical Campus, Chas Dist. Ahmednagar",Computer Engineering,MHT-CET
76,81747,39.4861193,"5124 - Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch,
Babulgaon",Information Technology,MHT-CET
77,81936,38.3158243,"2138 - Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna",Computer Science and Engineering,MHT-CET
78,81976,38.3158243,"6315 - Holy-Wood Academy's Sanjeevan Engineering and Technology Institute,
Panhala",Electrical Engineering,MHT-CET
79,82159,38.2409019,"2114 - Deogiri Institute of Engineering and Management Studies, Aurangabad",Civil Engineering,MHT-CET
80,82527,36.8261928,"6808 - Keystone School of Engineering, Pune","Electronics and Telecommunication
Engg",MHT-CET
81,82555,36.8261928,"6317 - Sharad Institute of Technology College of Engineering, Yadrav(Ichalkaranji)","Electronics and Telecommunication
Engg",MHT-CET
82,82651,36.7987731,"6839 - Dr. D Y Patil Pratishthan's College of Engineering, Kolhapur",Electrical Engineering,MHT-CET
83,82679,36.7976787,"2129 - M.S. Bidve Engineering College, Latur",Civil Engineering,MHT-CET
84,82737,36.7976787,"4196 - Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur",Computer Science and Engineering,MHT-CET
85,82816,36.2152983,"6317 - Sharad Institute of Technology College of Engineering, Yadrav(Ichalkaranji)",Electrical Engineering,MHT-CET
86,82890,36.1998499,"5139 - Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar.",Chemical Engineering,MHT-CET
87,83078,35.6415304,"6326 - Shri Pandurang Pratishtan, Karmayogi Engineering College, Shelve, Pandharpur",Computer Science and Engineering,MHT-CET
88,83449,34.5488309,"6772 - NBN Sinhgad Technical Institutes Campus, Pune","Electronics and Telecommunication
Engg",MHT-CET
89,83482,34.4633689,"2250 - Aurangabad College of Engineering, Naygaon Savangi, Aurangabad",Civil Engineering,MHT-CET
90,83591,34.3312532,"4135 - Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering &
Technology, Nagpur",Information Technology,MHT-CET
91,83639,34.0528096,"2533 - CSMSS Chh. Shahu College of Engineering, Aurangabad",Civil Engineering,MHT-CET
92,83866,33.2795222,"6250 - D.Y. Patil College of Engineering and Technology, Kolhapur",Mechanical Engineering,MHT-CET
93,84002,32.8632605,"3465 - Ideal Institute of Technology, Wada, Dist.Thane",Mechanical Engineering,MHT-CET
94,84081,32.6882976,"2135 - Hi-Tech Institute of Technology, Aurangabad",Computer Science and Engineering,MHT-CET
95,84090,32.6882976,"5173 - SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering, (Jain Gurukul),
Neminagar,Chandwad,(Nashik)",Civil Engineering,MHT-CET
96,84237,32.0471506,"6901 - MAEER's MIT College of Railway Engineering and Research, Jamgaon, Barshi",Computer Science and Engineering,MHT-CET
97,84687,31.1669829,"6755 - JSPM Narhe Technical Campus, Pune.",Civil Engineering,MHT-CET
98,84915,30.2190104,"5331 - Sandip Foundation's, Sandip Institute of Engineering & Management, Nashik","Electronics and Telecommunication
Engg",MHT-CET
99,84981,29.93933,"4144 - Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur",Mechanical Engineering,MHT-CET
100,85201,29.4872892,"1114 - Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati","Electronics and Telecommunication
Engg",MHT-CET
101,85605,28.1826454,"6466 - Shree Santkrupa Shikshan Sanstha, Shree Santkrupa Institute Of Engineering &
Technology, Karad",Computer Science and Engineering,MHT-CET
102,85654,28.1674686,"6269 - Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology,
Budhgaon, Sangli",Mechanical Engineering,MHT-CET
103,85705,28.0907404,"6184 - K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli,
Haveli",Civil Engineering,MHT-CET
104,85784,28.0907404,"3471 - New Horizon Institute of Technology & Management, Thane",Electrical Engineering,MHT-CET
105,85856,28.0164041,"4175 - JMSS Shri Shankarprasad Agnihotri College of Engineering, Wardha",Computer Science and Engineering,MHT-CET
